time	conversion	overall_conversion
4396.8	0.620562	0.620562
4406.8	0.621302	0.621302
4416.8	0.622029	0.622029
4426.8	0.622746	0.622746
4436.8	0.62347	0.62347
4446.8	0.624186	0.624186
4456.81	0.624908	0.624908
4466.81	0.625615	0.625615
4476.81	0.626323	0.626323
4486.81	0.62702	0.62702
4496.81	0.627717	0.627717
4506.81	0.628409	0.628409
4516.81	0.629102	0.629102
4526.81	0.629792	0.629792
4536.81	0.630481	0.630481
4546.81	0.631165	0.631165
4556.81	0.631854	0.631854
4566.81	0.63254	0.63254
4576.81	0.633221	0.633221
4586.81	0.633901	0.633901
4596.81	0.634581	0.634581
4606.81	0.635259	0.635259
4616.81	0.635934	0.635934
4626.81	0.636601	0.636601
4636.81	0.637267	0.637267
4646.81	0.637934	0.637934
4656.81	0.638596	0.638596
4666.81	0.639252	0.639252
4676.81	0.639895	0.639895
4686.81	0.640549	0.640549
4696.81	0.641197	0.641197
4706.81	0.641838	0.641838
4716.81	0.642479	0.642479
4726.81	0.643112	0.643112
4736.81	0.64374	0.64374
4746.81	0.644373	0.644373
4756.81	0.644995	0.644995
4766.81	0.645617	0.645617
4776.81	0.646236	0.646236
4786.81	0.646854	0.646854
4796.81	0.647466	0.647466
4806.81	0.648082	0.648082
4816.81	0.648686	0.648686
4826.81	0.649291	0.649291
4836.81	0.6499	0.6499
4846.81	0.650505	0.650505
4856.81	0.651108	0.651108
4866.81	0.651712	0.651712
4876.81	0.652305	0.652305
4886.81	0.652898	0.652898
4896.81	0.65349	0.65349
4906.82	0.654083	0.654083
4916.82	0.654674	0.654674
4926.82	0.655257	0.655257
4936.82	0.655836	0.655836
4946.82	0.656415	0.656415
4956.82	0.656991	0.656991
4966.82	0.657568	0.657568
4976.82	0.658134	0.658134
4986.82	0.658703	0.658703
4996.82	0.65927	0.65927
5006.82	0.65984	0.65984
5016.82	0.660407	0.660407
5026.82	0.660973	0.660973
5036.82	0.661526	0.661526
5046.82	0.662087	0.662087
5056.82	0.662644	0.662644
5066.82	0.663199	0.663199
5076.82	0.663748	0.663748
5086.82	0.664299	0.664299
5096.82	0.664847	0.664847
5106.82	0.665395	0.665395
5116.82	0.66594	0.66594
5126.82	0.666483	0.666483
5136.82	0.667021	0.667021
5146.82	0.667557	0.667557
5156.82	0.66809	0.66809
5166.82	0.668618	0.668618
5176.82	0.669147	0.669147
5186.82	0.669673	0.669673
5196.82	0.670195	0.670195
