conversion	Mn	Mw
0.665395	217094	931119
0.66594	217082	930677
0.666483	217118	930235
0.667021	216997	929802
0.667557	216724	929371
0.66809	216720	928943
0.668618	216680	928511
0.669147	216676	928087
0.669673	216670	927662
0.670195	216675	927244
0.670717	216527	926828
0.67124	216288	926407
0.671756	216279	925991
0.672272	216131	925576
0.672785	216064	925163
0.6733	215928	924751
0.673807	215998	924342
0.674314	215894	923937
0.674817	215859	923537
0.675317	215684	923136
0.675812	215647	922741
0.676307	215690	922346
0.676808	215528	921949
0.677305	215491	921554
0.677803	215398	921161
0.678293	215267	920772
0.678786	215218	920379
0.679275	215191	919991
0.679764	215129	919605
0.680249	214999	919221
0.680734	214902	918835
0.681221	214852	918452
0.681704	214789	918070
0.68218	214600	917695
0.682657	214592	917319
0.683127	214570	916945
0.683598	214504	916578
0.684071	214484	916205
0.684537	214495	915841
0.685009	214441	915470
0.685475	214340	915104
0.685939	214239	914744
0.686401	214170	914385
0.686859	214090	914026
0.687316	214043	913666
0.687769	213995	913315
0.688216	213878	912969
0.688674	213787	912614
0.689124	213749	912263
0.689572	213777	911915
0.690023	213640	911562
0.69047	213546	911217
0.690916	213552	910867
0.691354	213445	910528
0.691794	213470	910186
0.692235	213276	909848
0.692673	213247	909512
0.693106	213226	909176
0.69354	213119	908840
0.693976	213088	908504
0.694408	213068	908173
0.694835	213035	907843
0.695261	212991	907514
0.695688	212817	907184
0.696119	212763	906854
0.696538	212718	906533
0.696953	212627	906219
0.697367	212624	905902
0.697783	212555	905585
0.698198	212498	905268
0.698616	212322	904950
0.699026	212242	904633
0.699433	212172	904321
0.699842	212188	904008
0.700252	212152	903694
0.70066	212210	903381
0.701067	212098	903069
0.701472	212049	902762
0.701875	211871	902453
0.70228	211790	902147
0.702675	211781	901845
0.70307	211761	901544
0.703463	211688	901246
0.703859	211636	900946
0.704251	211680	900648
0.70464	211648	900355
0.705032	211617	900058
0.705423	211649	899766
0.705812	211512	899471
0.706199	211479	899180
0.706585	211362	898891
0.706967	211286	898603
0.707352	211317	898314
0.707733	211325	898027
0.708113	211280	897742
0.70849	211245	897460
0.708867	211105	897182
0.709246	211039	896899
0.709618	210951	896617
0.709991	210810	896340
0.71036	210668	896064
0.710728	210726	895790
0.711098	210720	895514
0.711465	210641	895240
0.711832	210573	894966
0.712196	210503	894696
0.712562	210362	894421
0.712926	210356	894150
0.713289	210266	893877
0.71365	210227	893607
0.714009	210240	893341
0.714365	210168	893076
0.714725	210150	892808
0.715082	210121	892543
0.71544	210102	892278
0.715794	210083	892017
0.716147	210032	891756
0.716497	210031	891496
0.716842	210071	891241
0.71719	210070	890985
0.717537	209945	890730
0.717885	209873	890473
0.718229	209829	890221
0.71857	209847	889970
0.718911	209783	889718
0.719253	209688	889468
0.719594	209645	889220
0.719935	209550	888970
0.720269	209566	888727
0.720602	209500	888480
0.720937	209292	888234
0.721273	209328	887988
0.721601	209139	887749
0.721932	209063	887507
0.722261	209067	887266
0.722593	209022	887022
0.72292	208884	886786
0.723246	208817	886547
0.723574	208750	886308
0.723899	208663	886074
0.724221	208615	885840
0.724542	208477	885607
0.724866	208420	885371
0.725184	208331	885140
0.725502	208302	884907
0.725818	208353	884678
0.72614	208355	884443
0.726455	208356	884215
0.72677	208276	883985
0.72708	208285	883762
0.727394	208146	883533
0.727707	208096	883304
0.728021	208027	883078
0.728331	208036	882852
0.728636	208024	882633
0.728945	207973	882408
0.72925	207961	882187
0.729553	207879	881968
0.72986	207719	881747
0.730164	207707	881526
0.730466	207733	881308
0.730777	207604	881085
0.731081	207494	880866
0.731381	207372	880652
0.731676	207338	880438
0.731979	207237	880223
0.732272	207242	880013
0.732568	207149	879801
0.732863	207194	879589
0.73316	207101	879374
0.733453	207047	879165
0.733744	207012	878956
0.734037	206997	878747
0.734326	206962	878540
0.734615	206916	878333
0.734902	206861	878127
0.735191	206806	877918
0.735476	206633	877712
0.735763	206549	877508
0.736046	206493	877305
0.736329	206456	877104
0.736611	206467	876900
0.736892	206382	876700
0.737173	206316	876500
0.737454	206279	876300
0.737732	206279	876100
0.738012	206223	875901
0.738288	206136	875705
0.738565	206078	875507
0.73884	206040	875311
0.739116	205925	875114
0.73939	205867	874920
0.739662	205809	874727
0.739934	205827	874533
0.740207	205673	874338
0.740475	205614	874149
0.740746	205565	873954
0.741015	205535	873762
0.74128	205485	873575
0.741547	205454	873384
0.741813	205451	873195
0.742075	205391	873011
0.742338	205407	872825
0.7426	205289	872640
0.742863	205295	872453
0.743125	205273	872268
0.743385	205250	872084
0.743648	205219	871897
0.743911	205187	871711
0.744171	205126	871525
0.744424	205036	871349
0.744682	204975	871166
0.744942	204961	870984
0.745197	204843	870802
0.745459	204811	870618
0.745716	204825	870436
0.745965	204781	870261
0.74622	204748	870084
0.746469	204647	869908
0.746721	204641	869729
0.746971	204522	869553
0.747217	204496	869380
0.747469	204472	869201
0.74772	204418	869025
0.747973	204432	868848
0.748214	204367	868680
0.748456	204330	868510
0.7487	204266	868340
0.748944	204296	868169
0.749189	204195	867999
0.749431	204205	867828
0.749674	204178	867659
0.749916	204058	867489
0.750156	204022	867321
0.750398	203976	867152
0.750638	203986	866985
0.750877	203995	866817
0.751116	204004	866650
0.751348	203919	866490
0.751583	203891	866327
0.75182	203918	866164
0.752055	203908	866000
0.752289	203851	865839
0.75252	203729	865679
0.752754	203626	865517
0.752985	203560	865357
0.753219	203458	865193
0.753449	203465	865035
0.75368	203435	864873
0.753909	203387	864715
0.754142	203358	864553
0.754371	203310	864394
0.754596	203261	864237
0.754824	203231	864080
0.755053	203164	863920
0.755278	203115	863765
0.755501	203075	863612
0.755724	203044	863455
0.755949	202994	863298
0.756173	202945	863142
0.7564	202915	862984
0.756622	202902	862830
0.756843	202761	862677
0.757064	202585	862525
0.757284	202535	862372
0.757503	202521	862222
0.757723	202435	862068
0.757943	202403	861914
0.758159	202262	861767
0.758376	202212	861615
0.758591	202170	861466
0.758809	202120	861315
0.759025	202088	861164
0.759238	201965	861017
0.759449	201913	860872
0.759661	201862	860725
0.759873	201793	860578
0.760085	201795	860431
0.760297	201780	860284
0.760507	201684	860138
0.760718	201650	859994
0.760927	201670	859850
0.761139	201601	859704
0.761347	201513	859561
0.761556	201426	859417
0.761764	201427	859273
0.761969	201375	859133
0.762171	201322	858992
0.762375	201242	858851
0.762577	201189	858712
0.762783	201119	858569
0.762989	201049	858427
0.76319	201040	858290
0.76339	200987	858153
0.763592	200951	858015
0.763793	200916	857875
0.763994	200863	857738
0.764196	200845	857601
0.764395	200818	857464
0.764594	200800	857328
0.764795	200703	857188
0.764992	200631	857054
0.765188	200507	856919
0.765384	200488	856785
0.76558	200487	856648
0.765774	200432	856515
0.765974	200415	856379
0.766167	200360	856246
0.766362	200411	856111
0.766554	200409	855978
0.766745	200371	855846
0.766937	200298	855714
0.767129	200261	855581
0.76732	200206	855449
0.767511	200169	855318
0.767702	200149	855187
0.767892	200181	855056
0.768082	200091	854927
0.768269	200070	854798
0.768461	199981	854667
0.76865	199978	854537
0.768838	199905	854406
0.769026	199850	854278
0.769213	199811	854149
0.769401	199773	854020
0.769589	199788	853891
0.769773	199835	853766
0.769959	199832	853639
0.770147	199846	853511
0.770333	199842	853385
0.770519	199691	853257
0.770705	199670	853131
0.770887	199665	853008
0.77107	199574	852883
0.77125	199569	852760
0.771431	199530	852638
0.771614	199491	852513
0.771796	199452	852390
0.771978	199378	852267
0.772157	199321	852147
0.772337	199333	852023
0.772517	199294	851901
0.772695	199236	851780
0.772874	199162	851658
0.77305	199139	851538
0.773227	199065	851418
0.773403	198990	851299
0.773579	198967	851179
0.773753	198986	851062
0.773928	198997	850943
0.774102	198956	850825
0.774278	198933	850705
0.774446	198976	850591
0.774619	198935	850473
0.774792	198800	850357
0.774964	198793	850241
0.775136	198718	850124
0.775304	198642	850011
0.775475	198618	849895
0.775644	198576	849779
0.775816	198569	849663
0.775988	198511	849547
0.776156	198503	849434
0.776323	198393	849319
0.776489	198419	849205
0.776655	198393	849092
0.776821	198351	848978
0.776991	198293	848864
0.777154	198233	848755
0.777319	198241	848645
0.777485	198165	848533
0.777651	198072	848421
0.777814	197929	848312
0.777977	197920	848203
0.778139	197910	848092
0.778307	197835	847978
0.778472	197743	847866
0.778637	197667	847754
0.778797	197624	847646
0.778963	197599	847532
0.779124	197590	847423
0.779282	197579	847314
0.779445	197554	847205
0.779605	197527	847098
0.779765	197501	846989
0.779925	197474	846882
0.780086	197465	846772
0.780243	197330	846666
0.780401	197370	846560
0.78056	197360	846452
0.780716	197366	846348
0.780873	197322	846241
0.781031	197262	846134
0.781192	197269	846025
0.78135	197243	845917
0.781506	197199	845812
0.781661	197171	845708
0.781819	197095	845601
0.781975	197068	845496
0.782127	197023	845393
0.782279	197028	845292
0.782433	196984	845188
0.782584	196972	845087
0.782737	196978	844984
0.782889	196916	844882
0.783039	196847	844779
0.783187	196851	844680
0.783337	196822	844578
0.783485	196826	844479
0.783635	196864	844378
0.783785	196902	844278
0.783933	196898	844179
0.784081	196885	844080
0.784232	196890	843978
0.784379	196861	843880
0.784528	196815	843781
0.784673	196737	843684
0.784823	196758	843585
0.784972	196770	843487
0.785119	196774	843390
0.785264	196695	843293
0.785412	196650	843194
0.785555	196620	843098
0.785702	196508	843000
0.785849	196463	842902
0.785993	196434	842805
0.786136	196346	842711
0.786281	196350	842614
0.786426	196320	842517
0.78657	196283	842422
0.786716	196204	842324
0.78686	196150	842228
0.787004	196121	842131
0.787145	196025	842037
0.787287	196003	841943
0.78743	195925	841847
0.787575	195912	841751
0.787714	195898	841658
0.787856	195852	841563
0.787998	195855	841468
0.788138	195840	841375
0.788274	195842	841285
0.788413	195844	841192
0.788555	195830	841097
0.788693	195799	841005
0.788833	195704	840913
0.788973	195625	840820
0.789107	195561	840730
0.789244	195498	840639
0.789383	195476	840546
0.789521	195437	840453
0.789657	195455	840362
0.789796	195424	840269
0.789931	195393	840178
0.790065	195346	840090
0.790199	195346	839999
0.790333	195299	839912
0.79047	195316	839821
0.790603	195253	839731
0.790737	195205	839642
0.79087	195206	839554
0.791006	195094	839464
0.79114	195047	839374
0.791272	194967	839287
0.791401	194951	839203
0.791536	194952	839114
0.791669	194896	839025
0.791802	194881	838936
0.791936	194802	838847
0.792068	194762	838759
0.7922	194778	838673
0.792333	194763	838584
0.792465	194748	838497
0.792595	194700	838411
0.792723	194683	838326
0.79285	194682	838241
0.792978	194634	838156
0.793107	194594	838070
0.793236	194617	837985
0.793366	194569	837899
0.793494	194569	837815
0.793622	194568	837730
0.79375	194592	837646
0.793877	194591	837562
0.794005	194543	837479
0.794133	194534	837395
0.794258	194525	837313
0.794384	194524	837231
0.794511	194475	837147
0.794636	194427	837062
0.794763	194378	836978
0.79489	194361	836895
0.795014	194265	836813
0.795136	194295	836731
0.795261	194246	836649
0.795383	194236	836571
0.795506	194203	836489
0.795631	194162	836407
0.795753	194112	836325
0.795874	193952	836246
0.795997	193935	836165
0.796118	193901	836087
0.796242	193899	836005
0.796363	193850	835925
0.796484	193753	835846
0.796605	193712	835766
0.796725	193662	835688
0.796844	193597	835609
0.796965	193563	835527
0.797089	193562	835446
0.797207	193489	835368
0.797326	193439	835290
0.797444	193460	835212
0.797564	193442	835132
0.797684	193424	835053
0.797802	193429	834976
0.797922	193364	834897
0.79804	193299	834819
0.798157	193303	834741
0.798273	193316	834665
0.798391	193329	834588
0.798507	193310	834511
0.79862	193275	834436
0.798739	193225	834357
0.798855	193222	834280
0.798972	193157	834203
0.799088	193169	834126
0.799205	193182	834050
0.799318	193178	833976
0.799432	193081	833900
0.799544	193045	833827
0.799659	193011	833750
0.799774	192976	833675
0.79989	192973	833599
