conversion num_unsaturated num_saturated num_HHbond
0.576103 6292 5850 2147
0.577042 6297 5853 2147
0.577968 6300 5854 2147
0.578873 6302 5856 2147
0.579758 6307 5860 2147
0.580659 6309 5862 2147
0.581567 6311 5863 2148
0.582462 6315 5865 2149
0.583344 6316 5866 2149
0.584228 6318 5867 2149
0.585108 6318 5867 2149
0.585989 6321 5868 2149
0.586861 6322 5869 2149
0.587728 6325 5870 2149
0.588598 6326 5870 2149
0.589456 6329 5871 2149
0.590314 6331 5872 2149
0.591181 6332 5872 2149
0.592031 6332 5872 2149
0.592894 6332 5872 2149
0.593757 6332 5872 2150
0.594608 6333 5873 2150
0.595442 6336 5875 2152
0.596276 6336 5875 2152
0.597118 6339 5877 2152
0.597958 6343 5881 2152
0.598783 6344 5882 2152
0.599611 6346 5883 2152
0.60043 6348 5885 2152
0.601245 6352 5887 2154
0.602059 6353 5888 2154
0.602875 6357 5889 2154
0.603683 6359 5891 2154
0.604487 6361 5891 2154
0.60528 6363 5892 2155
0.606078 6365 5893 2156
0.606867 6369 5896 2156
0.60765 6373 5898 2156
0.608435 6373 5898 2156
0.609219 6376 5901 2156
0.609995 6376 5901 2156
0.610773 6378 5902 2156
0.611542 6383 5906 2156
0.612302 6387 5909 2157
0.613069 6388 5910 2157
0.613836 6388 5910 2157
0.614595 6388 5910 2157
0.615351 6390 5911 2157
0.616107 6393 5912 2157
0.61685 6393 5912 2157
0.617598 6395 5914 2157
0.618347 6395 5914 2157
0.619092 6396 5914 2157
0.61983 6400 5917 2158
0.620562 6401 5917 2158
0.621302 6403 5919 2159
0.622029 6405 5921 2160
0.622746 6407 5921 2160
0.62347 6407 5921 2161
0.624186 6412 5924 2161
0.624908 6415 5924 2161
0.625615 6417 5926 2161
0.626323 6419 5927 2161
0.62702 6421 5929 2161
0.627717 6422 5929 2161
0.628409 6426 5932 2161
0.629102 6427 5932 2162
0.629792 6429 5933 2162
0.630481 6433 5935 2162
0.631165 6433 5935 2163
0.631854 6434 5935 2163
0.63254 6434 5935 2163
0.633221 6434 5935 2163
0.633901 6434 5935 2163
0.634581 6435 5935 2164
0.635259 6435 5935 2164
0.635934 6436 5936 2164
0.636601 6438 5938 2164
0.637267 6439 5939 2164
0.637934 6439 5939 2164
0.638596 6439 5939 2165
0.639252 6440 5940 2165
0.639895 6441 5941 2165
0.640549 6441 5941 2165
0.641197 6442 5942 2165
0.641838 6442 5942 2165
0.642479 6444 5944 2165
0.643112 6445 5945 2165
0.64374 6445 5945 2165
0.644373 6447 5945 2166
0.644995 6447 5945 2166
0.645617 6449 5946 2166
0.646236 6451 5948 2167
0.646854 6451 5948 2167
0.647466 6452 5948 2167
0.648082 6455 5950 2167
0.648686 6455 5950 2167
0.649291 6457 5952 2167
0.6499 6460 5954 2168
0.650505 6462 5956 2170
0.651108 6464 5957 2170
0.651712 6465 5957 2170
0.652305 6466 5958 2172
0.652898 6467 5959 2172
0.65349 6468 5960 2172
0.654083 6469 5961 2172
0.654674 6469 5961 2172
0.655257 6472 5962 2172
0.655836 6472 5962 2172
0.656415 6473 5963 2174
0.656991 6473 5963 2174
0.657568 6474 5963 2174
0.658134 6474 5963 2177
0.658703 6475 5964 2177
0.65927 6475 5964 2177
0.65984 6476 5965 2177
0.660407 6477 5966 2177
0.660973 6479 5967 2177
0.661526 6481 5967 2177
0.662087 6483 5968 2177
0.662644 6484 5969 2177
0.663199 6485 5969 2177
0.663748 6486 5970 2177
0.664299 6486 5970 2177
0.664847 6486 5970 2177
0.665395 6487 5971 2177
0.66594 6488 5972 2177
0.666483 6491 5975 2177
0.667021 6493 5976 2177
0.667557 6495 5976 2177
0.66809 6496 5977 2178
0.668618 6497 5977 2179
0.669147 6497 5977 2180
0.669673 6498 5977 2180
0.670195 6499 5977 2181
0.670717 6501 5978 2181
0.67124 6503 5979 2181
0.671756 6505 5980 2181
0.672272 6508 5982 2181
0.672785 6509 5983 2181
0.6733 6510 5984 2181
0.673807 6511 5984 2182
